0  3 1
6324484 342411 3 -4
6324485 342114 3 -4
6324736 43422 3 2
6324738 342412 0 -5
6324864 43224 3 1
6324866 341224 1 -3
6324993 342421 1 3
6325504 342422 3 -4
6325760 342224 0 -5
6325888 322424 1 2
6356994 43413 3 0
6356998 341413 0 -4
6357248 43423 3 -4
6357250 342413 2 -5
6357760 342423 1 2
6373378 41334 4 -5
6373382 141334 0 -3
6373632 42334 3 3
6373634 241334 2 -3
6374144 242334 1 7
6389760 3434 2 3
6389761 43431 2 2
6389764 343411 2 3
6389765 343114 2 3
6389888 43432 2 0
6389890 343412 2 2
6390017 343421 2 4
6390272 343422 2 3
6390400 343224 2 2
6455296 43433 3 0
6455298 343413 2 -5
6455552 343423 3 -4
6488064 43334 3 0
6488066 341334 0 -4
6488320 342334 0 -5
6504448 33434 2 3
6504450 133434 5 -1
6504704 233434 2 4
6651904 343433 3 3
6717440 343334 3 -3
6750208 333434 0 -6
8388608 44 3 1
8388609 144 3 2
8388612 4411 3 1
8388613 4114 3 1
8388617 14411 3 2
8388619 14114 3 2
8388628 441111 3 1
8388629 411411 3 2
8388632 114114 3 3
8388633 411114 2 2
8388736 244 3 0
8388738 4412 3 -2
8388740 24411 3 -1
8388741 24114 0 0
8388746 441211 3 -2
8388748 441112 1 -1
8388749 411412 0 3
8388865 4421 2 -2
8388867 14421 3 2
8388873 442111 3 0
8388875 412114 4 2
8388994 24412 3 -2
8388998 441212 3 1
8389120 4422 2 18
8389121 14422 0 -4
8389125 442112 2 -1
8389248 4224 1 2
8389249 24421 3 3
8389252 441221 1 2
8389253 422114 3 2
8389379 442121 1 4
8389760 24422 3 0
8389762 441222 3 -2
8389889 442122 3 -2
8390016 24224 1 0
8390018 421224 0 -3
8390145 442221 0 -2
8390273 422421 1 3
8391168 442222 2 17
8391296 422422 3 3
8391680 224224 2 17
8391808 422224 3 1
8404992 344 3 0
8404994 4413 3 -3
8404996 34411 3 2
8404997 34114 3 0
8405002 441311 3 -2
8405004 441113 2 -2
8405005 411413 0 2
8405122 34412 3 0
8405126 441312 0 2
8405248 4423 1 -3
8405249 34421 3 2
8405252 442311 1 -3
8405253 442113 3 0
8405504 34422 3 2
8405506 442312 2 -4
8405632 34224 3 2
8405634 441223 1 3
8405761 442321 1 3
8406272 442322 3 -2
8406528 442223 2 -3
8406656 422423 0 3
8421377 4431 4 18
8421379 14431 4 18
8421385 443111 4 17
8421387 413114 4 17
